3	419
3	636
3	1386
3	1418
35	895
35	1301
45	1424
48	45
48	47
48	604
48	698
48	810
48	1117
48	1149
48	1203
54	441
55	55
66	346
106	330
148	381
148	402
152	718
153	25
153	154
153	1158
153	1299
154	1158
156	101
161	667
163	746
163	1204
163	1207
163	1357
175	819
175	1244
176	177
176	180
176	1424
184	154
206	758
206	764
206	1527
207	1190
209	1353
209	1510
212	2169
233	229
233	232
248	1207
250	654
261	53
261	263
261	405
261	1424
268	997
278	1450
282	274
307	970
308	307
308	309
310	1190
314	4582
317	982
326	44
335	1149
343	395
343	609
343	611
343	857
344	1490
358	1188
361	1390
381	377
381	380
381	381
381	382
393	870
398	362
402	1334
412	411
415	178
415	395
417	419
417	421
434	1200
435	233
441	1121
442	437
444	449
444	471
444	528
444	558
444	972
444	1023
445	696
445	698
490	488
492	343
492	346
492	377
492	378
492	380
492	381
492	382
492	402
492	488
492	595
492	609
492	830
492	850
492	857
492	1280
510	5907
519	1464
520	75
520	435
520	519
520	526
520	962
538	1136
554	11
566	578
566	1478
587	585
590	55
598	275
602	367
602	374
602	383
602	600
602	973
608	610
609	380
615	1024
628	478
631	178
631	395
631	628
631	637
631	747
631	880
633	343
633	346
633	377
633	395
633	615
633	665
633	819
633	857
633	997
633	1159
633	1175
633	1271
633	1280
643	47
648	1607
650	90
650	329
650	344
650	486
650	581
650	589
650	653
650	654
650	672
650	695
650	731
650	803
650	966
650	982
650	1024
650	1170
650	1175
650	1176
650	1177
650	1179
650	1190
650	1490
650	2384
650	3744
650	4213
667	45
667	53
667	114
667	393
667	439
667	479
667	548
667	562
667	580
667	654
667	747
667	764
667	774
667	966
667	1017
667	1133
667	1383
686	691
688	45
688	610
688	683
688	691
688	986
694	696
694	698
703	178
706	650
706	1176
706	1179
725	1121
725	2191
726	11
726	30
726	152
726	168
726	341
726	364
726	517
726	536
726	693
726	718
726	728
726	729
726	731
726	816
726	820
726	966
726	1023
726	1159
726	1264
726	1281
726	1358
726	1495
726	1773
726	1797
726	4217
743	146
746	1200
746	1207
771	770
771	772
771	773
771	775
771	777
771	1210
777	253
812	178
812	1032
812	4930
816	159
831	830
850	449
850	997
855	310
855	3744
857	449
857	997
859	1100
870	862
870	1383
955	4071
965	1424
978	228
979	715
991	1368
995	857
1001	1119
1003	1002
1096	198
1110	695
1110	698
1118	1112
1119	1119
1120	1361
1131	1136
1133	1417
1134	1384
1146	1145
1146	1147
1146	1148
1147	557
1148	55
1161	4
1161	75
1161	85
1161	232
1161	253
1161	335
1161	367
1161	383
1161	525
1161	623
1161	1098
1161	1149
1161	1158
1161	1159
1161	1253
1161	1271
1161	1368
1168	4083
1170	1171
1170	2347
1170	2952
1172	726
1176	1024
1186	4
1186	1188
1186	1243
1186	1545
1188	1188
1190	5029
1200	1204
1213	68
1213	141
1213	154
1213	330
1213	450
1213	526
1213	557
1213	586
1213	698
1213	729
1213	905
1213	981
1213	1100
1213	1168
1213	1169
1213	1179
1213	1204
1213	1244
1213	1318
1213	1334
1213	1343
1213	1886
1213	1900
1213	4071
1213	5311
1229	44
1229	335
1231	1294
1237	2908
1238	758
1238	1243
1238	1244
1238	1686
1238	5101
1253	66
1254	345
1266	1112
1270	4
1270	1271
1270	1773
1270	3996
1270	4267
1284	5400
1294	816
1295	1294
1297	815
1297	833
1297	3719
1301	966
1309	314
1315	716
1318	55
1318	409
1334	1280
1339	375
1357	454
1357	982
1362	1361
1367	437
1368	449
1377	5559
1383	631
1385	395
1385	420
1385	437
1385	479
1385	581
1385	637
1385	703
1385	764
1385	1386
1385	1417
1390	23
1401	343
1401	857
1401	1024
1411	1096
1446	419
1459	2908
1478	578
1478	1478
1495	1494
1508	2347
1510	1353
1518	25
1518	154
1518	1158
1518	1299
1620	718
1860	1508
1994	1096
2091	34
2092	34
2147	5054
2169	1979
2296	492
2296	845
2296	1361
2312	845
2347	5698
2440	206
2929	4853
2935	206
2935	758
2935	764
2935	1284
2935	1508
2935	1527
2935	3558
2935	5054
3141	2169
3183	68
3183	154
3183	330
3183	526
3183	557
3183	586
3183	698
3183	729
3183	905
3183	981
3183	1100
3183	1168
3183	1169
3183	1179
3183	1204
3183	1244
3183	1318
3183	1334
3183	1343
3183	1886
3183	1900
3183	2163
3183	4071
3183	5311
3417	125
3417	170
4284	3558
4414	146
4748	3834
5360	1353
5360	1510
